sector,subsector,component,unit,year,value,datatype
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2015,1623.3,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2015,28.1,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2015,987,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2015,17.1,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2015,-204.6,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2015,-3.5,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2015,-10.6,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2015,1482,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2015,21,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2015,1178,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2015,30,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2015,39.5,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2015,-287,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2015,720,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2015,6,Actual
Other memo items,Population,Population,"Million, Level",2015,11.3,Actual
Other memo items,Population,Annual change in population,%,2015,2.7,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2015,748,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2015,,Actual
Other memo items,Laborforce,Working age population,16+ years,2015,,Actual
Other memo items,Laborforce,Labour force participation rate,%,2015,,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2016,6768,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2016,8597,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2016,7404,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2016,1935,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2016,1310,Actual
Real Sector,GDP and components,Services,Constant prices,2016,3489,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2016,5.3,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2016,7.3,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2016,5.7,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2016,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2016,7.8,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2016,26.9,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2016,22.5,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2016,0.4,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2016,22,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2016,727,Actual
External sector,Exports,Exports of services,"Million USD, Level",2016,790,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2016,1517,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2016,17.6,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2016,2021,Actual
External sector,Imports,Imports of services,"Million USD,Level",2016,1035,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2016,3056,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2016,35.5,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2016,-1294,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2016,-15.1,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2016,-1321,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2016,-15.4,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2016,279.7,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2016,3.3,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2016,4.22,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2016,363,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2016,3.9,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2016,22,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2016,4.8,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2016,16.8,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2016,1541.7,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2016,23.9,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2016,1000.367249,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2016,15.5,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2016,373.7,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2016,5.8,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2016,1764.4,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2016,27.4,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2016,1147,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2016,17.8,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2016,-222.7,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2016,-3.4,Actual
